RecordNo,endtime,qweek,i12_health_1,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,weight,age,gender,state,household_size,employment_status,Vent_3,vac_boost_1,vac12_booster_other,vac_man_1,vac_man_2,vac_man_3,vac_man_4,vac_man_5,vac_man_6,vac_man_7,vac_man_96,vac_man_99,household_children_resp,future_1,future_2,had_covid_2,future_3
53092,22/03/2022 01:37,week 54,Frequently,Always,Frequently,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,0.540781813,57,Male,South Australia,4,Not working,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53093,22/03/2022 01:38,week 54,Always,Always,Always,Always,Sometimes,Always,Always,Frequently,Frequently,Always,Always,Sometimes,1.771757572,84,Male,Western Australia,2,Retired,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53094,22/03/2022 01:38,week 54,Not at all,Sometimes,Frequently,Always,Sometimes,Always,Always,Rarely,Frequently,Always,Frequently,Frequently,0.754580239,64,Female,Queensland,1,Part time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53095,22/03/2022 01:41,week 54,Always,Not at all,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,0.874049975,43,Male,Western Australia,2,Not working,Always, ,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,2,No,2
53096,22/03/2022 01:43,week 54,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,1.098087052,30,Female,New South Wales,4,Unemployed,Frequently,No,__NA__,No,No,No,No,No,No,No,No,Yes,2,3 – About the same,3 – About the same,Yes,3 – About the same
53097,22/03/2022 01:44,week 54,Always,Frequently,Always,Always,Frequently,Sometimes,Always,Always,Always,Always,Frequently,Not at all,1.248057742,30,Male,New South Wales,2,Part time employment,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,3 – About the same,3 – About the same,Yes,1 – A lot less impact
53098,22/03/2022 02:51,week 54,Always,Always,Always,Always,Frequently,Rarely,Always,Always,Always,Always,Always,Frequently,0.928878718,37,Female,Victoria,3,Full time employment,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53099,22/03/2022 02:35,week 54,Always,Always,Always,Always,Frequently,Always,Always,Rarely,Sometimes,Frequently,Frequently,Rarely,0.745717068,54,Female,New South Wales,2,Full time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53100,22/03/2022 04:04,week 54,Rarely,Frequently,Frequently,Frequently,Sometimes,Rarely,Always,Sometimes,Frequently,Always,Frequently,Sometimes,0.819212712,38,Female,Victoria,1,Not working,Frequently,Yes,__NA__,Yes,Yes,Yes,No,No,No,No,No,No,0,3 – About the same,2,No,2
53101,22/03/2022 01:45,week 54,Always,Frequently,Always,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,0.848267044,62,Male,Victoria,2,Retired,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,Yes,3 – About the same
53102,22/03/2022 02:26,week 54,Frequently,Always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Always,Frequently,Frequently,Frequently,Sometimes,0.928838105,42,Female,Queensland,1,Part time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,5 - A lot more of an impact,5 - A lot more of an impact,No,5 - A lot more of an impact
53103,22/03/2022 02:28,week 54,Always,Always,Always,Always,Sometimes,Always,Frequently,Sometimes,Sometimes,Sometimes,Always,Not at all,0.929266178,61,Male,Queensland,3,Full time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Prefer not to say,3 – About the same,3 – About the same,No,3 – About the same
53104,22/03/2022 02:32,week 54,Rarely,Frequently,Always,Always,Frequently,Sometimes,Frequently,Not at all,Not at all,Sometimes,Always,Rarely,0.928878718,36,Female,Victoria,2,Not working,Frequently,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,2,No,2
53105,23/03/2022 23:16,week 54,Rarely,Sometimes,Always,Not at all,Rarely,Not at all,Always,Not at all,Not at all,Not at all,Sometimes,Not at all,0.813491565,33,Female,Queensland,2,Part time employment,Sometimes,No,__NA__,Yes,No,Yes,No,No,No,No,No,No,0,3 – About the same,3 – About the same,No,2
53106,22/03/2022 02:59,week 54,Not at all,Always,Always,Always,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Not at all,0.723083305,38,Female,Queensland,2,Unemployed,Not at all, ,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,Yes,1 – A lot less impact
53107,22/03/2022 03:02,week 54,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Sometimes,0.803936432,32,Female,New South Wales,3,Full time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,3 – About the same,3 – About the same,Yes,3 – About the same
53108,22/03/2022 03:03,week 54,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,0.928878718,39,Female,Victoria,Prefer not to say,Part time employment,Sometimes, ,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,3 – About the same
53109,22/03/2022 03:11,week 54,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,0.976049966,40,Female,New South Wales,5,Unemployed,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,5 - A lot more of an impact,4,No,4
53110,22/03/2022 03:12,week 54,Always,Frequently,Always,Always,Frequently,Not at all,Always,Always,Always,Always,Sometimes,Rarely,0.928878718,41,Female,Victoria,Prefer not to say,Part time employment,Frequently,Yes,__NA__,No,No,No,No,No,No,No,Yes,No,Prefer not to say,1 – A lot less impact,1 – A lot less impact,No,1 – A lot less impact
53111,22/03/2022 03:16,week 54,Always,Always,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,0.928878718,37,Female,Victoria,4,Full time employment,Frequently,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,2,3 – About the same,2,No,1 – A lot less impact
53112,22/03/2022 03:33,week 54,Always,Frequently,Always,Always,Rarely,Always,Rarely,Always,Always,Always,Always,Sometimes,0.928878718,48,Female,Victoria,3,Full time employment,Frequently,No,__NA__,No,No,No,No,No,No,No,No,Yes,1,3 – About the same,3 – About the same,No,2
53113,22/03/2022 10:42,week 54,Always,Frequently,Always,Always,Not at all,Frequently,Rarely,Not at all,Not at all,Rarely,Rarely,Not at all,1.080148819,91,Female,South Australia,1,Retired,Rarely, ,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,2, ,1 – A lot less impact
53114,22/03/2022 05:22,week 54,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,0.871307484,70,Male,New South Wales,1,Part time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53115,22/03/2022 03:55,week 54,Always,Always,Always,Sometimes,Sometimes,Not at all,Always,Sometimes,Sometimes,Sometimes,Frequently,Not at all,0.850850104,53,Male,Western Australia,3,Full time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,1 – A lot less impact
53116,22/03/2022 04:11,week 54,Frequently,Always,Always,Always,Frequently,Not at all,Always,Sometimes,Sometimes,Always,Frequently,Not at all,0.851030348,72,Male,Victoria,2,Retired,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,1 – A lot less impact
53117,22/03/2022 04:11,week 54,Sometimes,Frequently,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1.045017908,30,Female,Victoria,Prefer not to say,Not working,Sometimes,No,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Prefer not to say,3 – About the same,3 – About the same,Yes,3 – About the same
53118,22/03/2022 04:14,week 54,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0.871396484,38,Male,Victoria,5,Full time employment,Sometimes,No,__NA__,No,No,No,Yes,No,No,No,No,No,0,4,3 – About the same,No,3 – About the same
53119,22/03/2022 04:17,week 54,Frequently,Frequently,Always,Always,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,0.540781813,64,Male,South Australia,Prefer not to say,Part time employment,Not at all,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,1 – A lot less impact,No,2
53120,22/03/2022 04:34,week 54,Always,Frequently,Always,Sometimes,Always,Not at all,Always,Sometimes,Sometimes,Always,Always,Frequently,1.612186502,78,Female,New South Wales,1,Retired,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53121,22/03/2022 04:39,week 54,Always,Always,Always,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.95916126,64,Male,New South Wales,1,Part time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,1 – A lot less impact,1 – A lot less impact,Yes,1 – A lot less impact
53122,22/03/2022 04:48,week 54,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,1.018565926,53,Female,New South Wales,4,Not working,Not at all,Yes,__NA__,No,No,No,No,No,No,Yes,No,No,0,3 – About the same,3 – About the same,No,2
53123,22/03/2022 04:54,week 54,Not at all,Frequently,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Not at all,Not at all,1.026735053,81,Male,Victoria,2,Retired,Not at all,Yes,__NA__,Yes,Yes,Yes,No,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53124,22/03/2022 04:56,week 54,Always,Always,Always,Always,Frequently,Sometimes,Always,Always,Always,Always,Always,Sometimes,1.026735053,81,Male,Victoria,2,Retired,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53125,22/03/2022 04:57,week 54,Rarely,Not at all,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.853621823,65,Male,Western Australia,Prefer not to say,Retired,Not at all, ,__NA__,No,No,No,No,No,No,No,No,Yes,Prefer not to say,3 – About the same,3 – About the same,Yes,3 – About the same
53126,22/03/2022 04:58,week 54,Frequently,Frequently,Sometimes,Frequently,Not at all,Not at all,Always,Not at all,Not at all,Not at all,Rarely,Not at all,0.871307484,79,Male,New South Wales,2,Retired,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,1 – A lot less impact,1 – A lot less impact,No,1 – A lot less impact
53127,22/03/2022 05:00,week 54,Always,Always,Always,Always,Sometimes,Sometimes,Always,Sometimes,Frequently,Frequently,Frequently,Sometimes,0.851030348,68,Male,Victoria,1,Part time employment,Frequently,No,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53128,22/03/2022 05:06,week 54,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,0.853621823,65,Male,Western Australia,1,Retired,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53129,22/03/2022 05:07,week 54,Sometimes,Always,Always,Always,Sometimes,Rarely,Always,Rarely,Frequently,Frequently,Frequently,Rarely,0.871307484,67,Male,New South Wales,1,Retired,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,2,No,2
53130,22/03/2022 05:07,week 54,Always,Always,Always,Always,Rarely,Always,Not at all,Sometimes,Frequently,Frequently,Frequently,Not at all,0.917068144,30,Female,Australian Capital Territory,3,Part time employment,Always,No,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,Yes,3 – About the same
53131,22/03/2022 05:08,week 54,Not at all,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Not at all,0.871307484,67,Male,New South Wales,2,Retired,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53132,22/03/2022 05:33,week 54,Sometimes,Frequently,Always,Always,Not at all,Not at all,Always,Not at all,Not at all,Not at all,Frequently,Not at all,0.851030348,70,Male,Victoria,2,Retired,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53133,22/03/2022 05:37,week 54,Rarely,Frequently,Always,Rarely,Sometimes,Always,Always,Not at all,Not at all,Frequently,Always,Not at all,0.851030348,74,Male,Victoria,2,Part time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53134,22/03/2022 05:42,week 54,Frequently,Frequently,Always,Always,Rarely,Sometimes,Frequently,Rarely,Rarely,Rarely,Sometimes,Not at all,0.851030348,73,Male,Victoria,2,Retired,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,3 – About the same,No,2
53135,22/03/2022 05:42,week 54,Rarely,Not at all,Frequently,Always,Always,Always,Always,Sometimes,Sometimes,Rarely,Always,Not at all,0.860380695,68,Male,Queensland,3,Retired,Not at all,Yes,__NA__,Yes,Yes,No,Yes,No,No,No,No,No,0,5 - A lot more of an impact,3 – About the same,No,3 – About the same
53136,22/03/2022 05:45,week 54,Frequently,Always,Always,Always,Rarely,Rarely,Rarely,Rarely,Sometimes,Frequently,Sometimes,Rarely,0.860380695,73,Male,Queensland,2,Part time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53137,22/03/2022 05:46,week 54,Always,Sometimes,Frequently,Always,Sometimes,Always,Frequently,Rarely,Sometimes,Always,Frequently,Sometimes,0.853621823,76,Male,Western Australia,2,Retired,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,4,3 – About the same,No,2
53138,22/03/2022 05:47,week 54,Frequently,Always,Always,Always,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,Always,Rarely,0.932293344,79,Male,Queensland,1,Retired,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53139,22/03/2022 05:55,week 54,Always,Always,Always,Frequently,Frequently,Rarely,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,0.976049966,40,Female,New South Wales,3,Full time employment,Frequently,No,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1,3 – About the same,3 – About the same,No,3 – About the same
53140,22/03/2022 06:07,week 54,Frequently,Frequently,Always,Always,Sometimes,Always,Not at all,Always,Always,Always,Always,Not at all,0.851030348,67,Male,Victoria,2,Retired,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,4,No,3 – About the same
53141,22/03/2022 06:11,week 54,Always,Frequently,Always,Sometimes,Sometimes,Always,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,0.962285812,75,Male,New South Wales,1,Retired,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,4,No,5 - A lot more of an impact
53142,22/03/2022 06:14,week 54,Sometimes,Frequently,Always,Always,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,0.85758703,61,Male,Queensland,2,Retired,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53143,22/03/2022 06:29,week 54,Not at all,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Frequently,0.848267044,59,Male,Victoria,4,Full time employment,Always,Yes,__NA__,Yes,Yes,Yes,No,No,No,No,No,No,1,3 – About the same,3 – About the same,No,3 – About the same
53144,22/03/2022 06:30,week 54,Always,Frequently,Always,Frequently,Frequently,Frequently,Rarely,Sometimes,Sometimes,Sometimes,Frequently,Rarely,0.962285812,89,Male,New South Wales,2,Retired,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,2,2,No,2
53145,22/03/2022 06:38,week 54,Rarely,Frequently,Always,Always,Sometimes,Frequently,Rarely,Not at all,Always,Always,Always,Sometimes,0.962285812,67,Male,New South Wales,2,Retired,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53146,22/03/2022 06:40,week 54,Always,Rarely,Always,Always,Sometimes,Sometimes,Not at all,Always,Always,Always,Always,Frequently,0.95916126,53,Male,New South Wales,1,Full time employment,Frequently, ,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,2,No,1 – A lot less impact
53147,22/03/2022 06:41,week 54,Always,Always,Always,Frequently,Always,Always,Not at all,Sometimes,Sometimes,Always,Always,Not at all,0.540781813,53,Male,South Australia,4,Full time employment,Sometimes,No,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,3 – About the same,3 – About the same,Yes,3 – About the same
53148,22/03/2022 06:50,week 54,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Frequently,0.976049966,41,Female,New South Wales,1,Not working,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53149,22/03/2022 06:53,week 54,Sometimes,Sometimes,Frequently,Rarely,Not at all,Sometimes,Not at all,Rarely,Sometimes,Rarely,Rarely,Not at all,1.045017908,30,Female,Victoria,2,Not working,Rarely,Yes,__NA__,Yes,Yes,No,No,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53150,22/03/2022 06:54,week 54,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,0.95916126,50,Male,New South Wales,4,Full time employment,Always,Yes,__NA__,Yes,No,Yes,Yes,No,No,No,No,No,2,1 – A lot less impact,1 – A lot less impact,Yes,1 – A lot less impact
53151,22/03/2022 06:56,week 54,Frequently,Always,Always,Rarely,Sometimes,Rarely,Not at all,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,0.929266178,54,Male,Queensland,2,Full time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,2
53152,22/03/2022 07:05,week 54,Frequently,Sometimes,Always,Not at all,Frequently,Always,Sometimes,Frequently,Always,Always,Frequently,Sometimes,0.848267044,51,Male,Victoria,1,Not working,Frequently,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,2,2,No,2
53153,22/03/2022 07:07,week 54,Frequently,Frequently,Frequently,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Frequently,Not at all,0.848267044,58,Male,Victoria,1,Part time employment,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,4,No,2
53154,22/03/2022 07:07,week 54,Frequently,Sometimes,Always,Always,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Not at all,1.534271588,76,Female,Victoria,1,Retired,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53155,22/03/2022 07:13,week 54,Always,Frequently,Frequently,Always,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,0.941068014,52,Male,South Australia,1,Full time employment,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,5 - A lot more of an impact,4,Yes,4
53156,22/03/2022 07:18,week 54,Always,Always,Always,Always,Sometimes,Not at all,Always,Frequently,Frequently,Frequently,Frequently,Always,1.123936363,72,Male,Australian Capital Territory,2,Part time employment,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,2,2,No,2
53157,22/03/2022 07:34,week 54,Always,Frequently,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Always,Not at all,0.941068014,52,Male,South Australia,3,Unemployed,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53158,22/03/2022 07:35,week 54,Sometimes,Always,Always,Always,Frequently,Always,Always,Frequently,Frequently,Frequently,Sometimes,Frequently,0.969339937,54,Female,Victoria,2,Part time employment,Sometimes,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,4
53159,22/03/2022 07:35,week 54,Not at all,Always,Always,Always,Not at all,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,Rarely,1.098087052,28,Female,New South Wales,3,Part time employment,Sometimes,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,3 – About the same
53160,22/03/2022 07:55,week 54,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,0.928878718,38,Female,Victoria,5,Part time employment,Frequently,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,2,3 – About the same,3 – About the same,No,3 – About the same
53161,22/03/2022 08:05,week 54,Rarely,Frequently,Always,Always,Frequently,Sometimes,Always,Sometimes,Frequently,Always,Always,Sometimes,0.854896967,55,Female,Victoria,2,Unemployed,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,3 – About the same,No,1 – A lot less impact
53162,22/03/2022 08:06,week 54,Not at all,Always,Always,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,1.180321234,73,Female,New South Wales,1,Part time employment,Always,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53163,22/03/2022 08:17,week 54,Always,Always,Always,Always,Frequently,Always,Frequently,Sometimes,Sometimes,Always,Always,Frequently,1.194349864,75,Female,Queensland,2,Retired,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,4,4,No,5 - A lot more of an impact
53164,22/03/2022 08:20,week 54,Always,Frequently,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Not at all,0.682428975,62,Female,South Australia,1,Part time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,2,2,No,1 – A lot less impact
53165,22/03/2022 08:27,week 54,Not at all,Sometimes,Always,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1.180321234,70,Female,New South Wales,1,Full time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,2,2,No,1 – A lot less impact
53166,22/03/2022 08:28,week 54,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,0.542543457,76,Male,South Australia,1,Retired,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,5 - A lot more of an impact,5 - A lot more of an impact,No,5 - A lot more of an impact
53167,22/03/2022 08:29,week 54,Not at all,Sometimes,Frequently,Always,Sometimes,Always,Always,Not at all,Always,Sometimes,Always,Not at all,0.969339937,51,Female,Victoria,Prefer not to say,Not working,Not at all,No,__NA__,No,Yes,No,No,No,No,No,No,No,Prefer not to say,5 - A lot more of an impact,5 - A lot more of an impact,No,2
53168,22/03/2022 08:31,week 54,Frequently,Always,Always,Always,Sometimes,Sometimes,Always,Frequently,Frequently,Frequently,Always,Frequently,1.023401234,63,Male,Victoria,1,Full time employment,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53169,23/03/2022 12:52,week 54,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0.723083305,38,Female,Queensland,3,Full time employment,Sometimes,No,__NA__,No,No,No,No,No,No,Yes,No,No,1,3 – About the same,3 – About the same,No,3 – About the same
53170,22/03/2022 08:56,week 54,Always,Always,Always,Always,Rarely,Always,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,0.682428975,63,Female,South Australia,2,Part time employment,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53171,22/03/2022 08:59,week 54,Frequently,Always,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Frequently,Frequently,Frequently,0.745717068,62,Female,New South Wales,2,Retired,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,4,4,No,4
53172,22/03/2022 09:01,week 54,Frequently,Sometimes,Always,Always,Rarely,Not at all,Always,Rarely,Not at all,Not at all,Rarely,Rarely,1.35299236,79,Female,Tasmania,2,Retired,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,4,3 – About the same,No,3 – About the same
53173,22/03/2022 09:15,week 54,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,1.098087052,33,Female,New South Wales,2,Full time employment,Sometimes,No,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,1 – A lot less impact,No,1 – A lot less impact
53174,22/03/2022 09:18,week 54,Always,Always,Frequently,Frequently,Sometimes,Sometimes,Always,Frequently,Always,Always,Frequently,Sometimes,0.854896967,55,Female,Victoria,2,Part time employment,Frequently,No,Haven't gotten round to it,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53175,22/03/2022 09:28,week 54,Always,Always,Always,Always,Frequently,Not at all,Always,Always,Always,Always,Always,Sometimes,0.682428975,58,Female,South Australia,3,Not working,Frequently, ,__NA__,No,No,No,No,No,No,No,No,Yes,0,5 - A lot more of an impact,5 - A lot more of an impact,No,5 - A lot more of an impact
53176,22/03/2022 09:36,week 54,Not at all,Frequently,Always,Always,Not at all,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all,0.850656023,53,Female,Australian Capital Territory,2,Unemployed,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
